repo;pouet;numL;page;page-href;linkToRepo;linkToDockerfile
"dgageot/quine-relay";"";"2";"Previous";"https://github.com/search?p=85&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/haskell.dockerfile"
"Evertvandenbruel/laughing-boo";"RUN apt-get install -y libxml2-dev libxslt1-dev";"6";"Previous";"https://github.com/search?p=44&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Evertvandenbruel/laughing-boo";"/Evertvandenbruel/laughing-boo/blob/cd5b55d3f8dad58b31ae1aaece2e995dd67f01f4/Dockerfile"
"flipstone/glados";"apt-get clean";"5";"Previous";"https://github.com/search?p=22&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/flipstone/glados";"/flipstone/glados/blob/c27db20b691afc536b45e93776ecc21128303d3d/containers/dev/Dockerfile"
"cactusthinking/docker-files";"USER root";"2";"Previous";"https://github.com/search?p=80&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/cactusthinking/docker-files";"/cactusthinking/docker-files/blob/8fde6c0f07d352617dd3d8c5fddeaf76a4de58d9/jenkins/Dockerfile"
"floydhub/textutil-split-file";"RUN apt-get update && apt-get install -y \";"5";"Previous";"https://github.com/search?p=45&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/floydhub/textutil-split-file";"/floydhub/textutil-split-file/blob/24d6dc358455135210919238e7605226338aa78a/Dockerfile"
"DataMgtCloud/baseos";"";"2";"Previous";"https://github.com/search?p=42&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/DataMgtCloud/baseos";"/DataMgtCloud/baseos/blob/b67011a9f304a4407d07f5b12f42cd641831b840/Dockerfile"
"mlamelas/testdocker";"RUN apt-get update && apt-get install -y vim curl";"2";"Previous";"https://github.com/search?p=67&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/mlamelas/testdocker";"/mlamelas/testdocker/blob/6f3bad255b138d64ab22419c1e303fd64e5009f7/Dockerfile"
"hknam/docker";"RUN apt-get update";"3";"Previous";"https://github.com/search?p=37&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/hknam/docker";"/hknam/docker/blob/7c897126bdb6a70779c6d66dd59270a2c844432f/Dockerfile"
"speakinghedge/docker-openvpn-build-n-test";"RUN apt-get update";"3";"";"";"/speakinghedge/docker-openvpn-build-n-test";"/speakinghedge/docker-openvpn-build-n-test/blob/df0b0ccba6aea12913f3f6ce068418c0adabff1e/Dockerfile"
"NotyIm/rethinkdb";"";"2";"Previous";"https://github.com/search?p=18&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/NotyIm/rethinkdb";"/NotyIm/rethinkdb/blob/f4921176e8b73e04313fd0fef09431d0b6dc1c37/Dockerfile"
"uveio/grafana";"RUN apt-get update && apt-get install -y vim";"3";"Previous";"https://github.com/search?p=70&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/uveio/grafana";"/uveio/grafana/blob/1ee2f2bfdcbfe07ff7241accd6f1a1b09370a20d/docker/debtest/Dockerfile"
"nastis/Mydocker";"FROM ubuntu";"1";"Previous";"https://github.com/search?p=1&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/nastis/Mydocker";"/nastis/Mydocker/blob/b26ced18ded0f45e3c13508655e97a5229169da0/Dockerfile"
"hitochan777/docker-texlive-full";"FROM ubuntu:trusty";"1";"Previous";"https://github.com/search?p=62&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/hitochan777/docker-texlive-full";"/hitochan777/docker-texlive-full/blob/ea841219c9833e1c2965804182e926cedaa3b7e1/Dockerfile"
"jamesidw/gmobile";"wget \";"3";"Previous";"https://github.com/search?p=54&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/jamesidw/gmobile";"/jamesidw/gmobile/blob/d4ac07d8e3fec70791e2bdce05b7baa040fe5e75/Dockerfile"
"JacobVanAssche/grafana_openTSDB";"";"2";"Previous";"https://github.com/search?p=73&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/JacobVanAssche/grafana_openTSDB";"/JacobVanAssche/grafana_openTSDB/blob/1857791c6fb127c9c22fbfe87f5897a11a568597/docker/debtest/Dockerfile"
"dgageot/quine-relay";"";"2";"Previous";"https://github.com/search?p=82&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/c.dockerfile"
"danysousa/pingLite";"FROM debian:7";"1";"Previous";"https://github.com/search?p=48&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/danysousa/pingLite";"/danysousa/pingLite/blob/4b2371153f22903de09545a87a77a8bcfe0ef2f3/Dockerfile"
"floydhub/textutil-split-file";"MAINTAINER Floyd";"3";"Previous";"https://github.com/search?p=45&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/floydhub/textutil-split-file";"/floydhub/textutil-split-file/blob/24d6dc358455135210919238e7605226338aa78a/Dockerfile"
"manifoldco/torus-cli";"FROM ubuntu:16.10";"1";"Previous";"https://github.com/search?p=21&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/manifoldco/torus-cli";"/manifoldco/torus-cli/blob/943bfee73938fa06b914959d42ac25709a7cc75b/packaging/deb/Dockerfile"
"windname/java-tool";"RUN apt-get -y install wget";"3";"Previous";"https://github.com/search?p=39&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/windname/java-tool";"/windname/java-tool/blob/4f6b14e327e59a50650610dae164e91f959d3e2c/docker-proj/Dockerfile"
"dgageot/quine-relay";"";"4";"Previous";"https://github.com/search?p=89&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/verilog.dockerfile"
"fits/try_samples";"RUN pip install --upgrade pip";"5";"Previous";"https://github.com/search?p=64&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/fits/try_samples";"/fits/try_samples/blob/e2c0d3aae52546233c3428390651c882b135d7a7/blog/20160531/keras/Dockerfile"
"huiwq1990/DockerImages";"RUN apt-get -qq install binutils";"8";"Previous";"https://github.com/search?p=45&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/huiwq1990/DockerImages";"/huiwq1990/DockerImages/blob/2c7afdde91f3302f21bf241759f56ef7fd28a100/asm/Dockerfile"
"chantra/atc_docker_demo";"RUN apt-get update && apt-get install iperf";"2";"Previous";"https://github.com/search?p=65&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/chantra/atc_docker_demo";"/chantra/atc_docker_demo/blob/23f674642b983e6b71df61651548fb819e2755c7/iperf/Dockerfile"
"dgageot/quine-relay";"";"2";"Previous";"https://github.com/search?p=82&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/brainfuck.dockerfile"
"etna-alternance/drone-php-nginx";"FROM etna/drone-php";"1";"Previous";"https://github.com/search?p=39&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/etna-alternance/drone-php-nginx";"/etna-alternance/drone-php-nginx/blob/be31fcd09e3920c7796d16c41ce3c864f62f8faf/Dockerfile"
"ewoutp/rpi-gcc-docker";"RUN apt-get update && apt-get install -y gcc cmake";"3";"Previous";"https://github.com/search?p=73&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ewoutp/rpi-gcc-docker";"/ewoutp/rpi-gcc-docker/blob/9ebafed792cf3c345ad63fb2ce4ec36a5b3f5081/Dockerfile"
"shailesh-kalamkar/blogger_docker";"RUN apt-get install -y libpq-dev";"5";"Previous";"https://github.com/search?p=43&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/shailesh-kalamkar/blogger_docker";"/shailesh-kalamkar/blogger_docker/blob/1904f4909007393ea545a5377cdaef507414a638/Dockerfile"
"dsklopp/docker_recipes";"Maintainer Daniel Klopp";"2";"Previous";"https://github.com/search?p=37&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dsklopp/docker_recipes";"/dsklopp/docker_recipes/blob/19b747c4281b34edfc9235d458c3653ea52da1db/wlan_mib_ap_scanner/Dockerfile"
"jlhaas/myrepo";"FROM nginx";"1";"Previous";"https://github.com/search?p=9&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/jlhaas/myrepo";"/jlhaas/myrepo/blob/09f993c71f40c83b05bbe7d0928b4881082142cf/Dockerfile"
"jinyi80/docker_ci";"RUN apt-get install -y openssl";"8";"Previous";"https://github.com/search?p=48&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/jinyi80/docker_ci";"/jinyi80/docker_ci/blob/ef72d800af636a9c62d0beccba59732b8ac3b578/Dockerfile"
"mpdatx/dotfiles";"FROM ubuntu:15.10";"1";"";"";"/mpdatx/dotfiles";"/mpdatx/dotfiles/blob/0c28c0a93c1b364f9225043115247e3682789860/docker/converter/Dockerfile"
"balanceit/travis-docker-postgres";"RUN apt-get install -y net-tools";"3";"Previous";"https://github.com/search?p=12&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/balanceit/travis-docker-postgres";"/balanceit/travis-docker-postgres/blob/2ad5bd7b8e5621d435cf3acc9638a40d4b448005/Dockerfile"
"gerchardon/envs";"FROM ubuntu";"1";"Previous";"https://github.com/search?p=2&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/gerchardon/envs";"/gerchardon/envs/blob/e2fb8236ebdecbc5a01ae13f8a5c8fadb7037d14/gerchardon/Dockerfile"
"magenete/site";"MAINTAINER Magenete Systems OÜ <magenete.systems@gmail.com""";"3";"Previous";"https://github.com/search?p=48&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/magenete/site";"/magenete/site/blob/541804baedd8875b9daa68bfaac686be37b6e16a/docker/Dockerfile"
"pjcuadra/dnsmasq-docker";"";"9";"Previous";"https://github.com/search?p=43&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/pjcuadra/dnsmasq-docker";"/pjcuadra/dnsmasq-docker/blob/470839e6f07a3ad43651455f82300f8c6b4859ee/Dockerfile"
"dgageot/quine-relay";"";"2";"Previous";"https://github.com/search?p=84&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/forth.dockerfile"
"linkedin/gobblin";"FROM ubuntu";"1";"Previous";"https://github.com/search?p=27&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/linkedin/gobblin";"/linkedin/gobblin/blob/844f05b4570e673f1d0466b4591731fd6a9c268e/gobblin-docker/gobblin-base/ubuntu/Dockerfile"
"agend07/rsync_image";"apt-get install -y rsync ssh && \";"5";"Previous";"https://github.com/search?p=39&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/agend07/rsync_image";"/agend07/rsync_image/blob/240f7fdaadec8747c4f7b15355217fddd4caae0d/Dockerfile"
"aaronpederson/docker-sodium";"";"2";"Previous";"https://github.com/search?p=18&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/aaronpederson/docker-sodium";"/aaronpederson/docker-sodium/blob/941b685bb9a81f1c97ccc88dd0d6cf3d63e5733b/release/Dockerfile"
"jimlawton/dockerfiles";"";"5";"Previous";"https://github.com/search?p=42&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/jimlawton/dockerfiles";"/jimlawton/dockerfiles/blob/c6d7eccfc15f48dceadd89ca283f983f0f992530/ubuntu-dev/Dockerfile"
"catalyst-training/docker-introduction";"FROM debian:latest";"1";"Previous";"https://github.com/search?p=97&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/catalyst-training/docker-introduction";"/catalyst-training/docker-introduction/blob/3a271e019f7ae29c9b2aad80d946b07916824d2e/dockerfiles/stress-testing/Dockerfile"
"ewoutp/rpi-gcc-docker";"";"2";"Previous";"https://github.com/search?p=73&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ewoutp/rpi-gcc-docker";"/ewoutp/rpi-gcc-docker/blob/9ebafed792cf3c345ad63fb2ce4ec36a5b3f5081/Dockerfile"
"abohmeed/vim";"ENTRYPOINT [""vim""]";"3";"Previous";"https://github.com/search?p=95&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/abohmeed/vim";"/abohmeed/vim/blob/1bdab1cb831b8d6d70529cc5868777f7fef97f16/Dockerfile"
"mijime/sham";"RUN apt-get update \";"3";"Previous";"https://github.com/search?p=8&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/mijime/sham";"/mijime/sham/blob/d65ceb8e8641070cd8b968b9c122c9f818c247b4/docker/bash-3.0/Dockerfile"
"octoblu/rpm-createrepo";"";"12";"";"";"/octoblu/rpm-createrepo";"/octoblu/rpm-createrepo/blob/cc37db79791b847185587e921b311329127a38bb/Dockerfile"
"docker-build/bind9";"";"2";"Previous";"https://github.com/search?p=46&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/docker-build/bind9";"/docker-build/bind9/blob/ec4a6b4128f393dd4dd248e79e8535d8cf2bd6ae/Dockerfile"
"serkanalgl/testdockerfile";"ENTRYPOINT [""ping""]";"6";"Previous";"https://github.com/search?p=49&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/serkanalgl/testdockerfile";"/serkanalgl/testdockerfile/blob/845b6ee8c9dad680ee545ce4b7dc61995c02ed6e/Dockerfile"
"vovaprog/learn";"";"5";"Previous";"https://github.com/search?p=13&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/vovaprog/learn";"/vovaprog/learn/blob/ff07530b92c2314a9ccd1f1aec3c40d78288d75c/tools/docker_clean_debian/Dockerfile"
"moul/docker-dput";"ENTRYPOINT [""dput""]";"5";"Previous";"https://github.com/search?p=58&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/moul/docker-dput";"/moul/docker-dput/blob/766eff3f6bffec811b741f296f6570497d5f164c/Dockerfile"
"ksp558562/docker_test";"FROM docker/whalesay:latest";"1";"Previous";"https://github.com/search?p=59&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ksp558562/docker_test";"/ksp558562/docker_test/blob/635d73fcd80950f33c051c2ae96be4f4306a043a/docker/Dockerfile"
"dgageot/quine-relay";"";"2";"Previous";"https://github.com/search?p=85&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/gri.dockerfile"
"kumar-utsav/HW";"";"2";"Previous";"https://github.com/search?p=97&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kumar-utsav/HW";"/kumar-utsav/HW/blob/553b4d4b5b6852702f4ebab45143e4f150dba306/HW4/Task1%20(file-io)/Dockerfile"
"ohac/dockerfiles";"RUN apt-get upgrade -y";"4";"Previous";"https://github.com/search?p=15&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ohac/dockerfiles";"/ohac/dockerfiles/blob/8a17e76860a000f98953b663958cbc03de883f63/base/Dockerfile"
"patrick-nw/xaos";"RUN apt-get install -y xaos";"3";"Previous";"https://github.com/search?p=5&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/patrick-nw/xaos";"/patrick-nw/xaos/blob/fe3e7e27c13a92febb987c642a4b4c4ad1d57b0e/Dockerfile"
"flrngel/spetha";"FROM golang:1.4.1-onbuild";"1";"Previous";"https://github.com/search?p=49&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/flrngel/spetha";"/flrngel/spetha/blob/5736f4b81d8dbb4b817a4d3c29c8fdec0a9a6e7b/Dockerfile"
"andrewfaria/docker";"RUN apt-get update";"3";"Previous";"https://github.com/search?p=8&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/andrewfaria/docker";"/andrewfaria/docker/blob/f72489c2d5c17ca71bb3ec564270e5b15c26daf9/dev-ubuntu/Dockerfile"
"GuiHash/docker-node-bower-grunt-rsync";"apt-get -y install rsync";"4";"Previous";"https://github.com/search?p=69&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/GuiHash/docker-node-bower-grunt-rsync";"/GuiHash/docker-node-bower-grunt-rsync/blob/8e163bd512414545856922acc9cd428af468b5d5/Dockerfile"
"yamamuteki/paiza-docker";"RUN apt-get install -y ruby";"3";"Previous";"https://github.com/search?p=4&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/yamamuteki/paiza-docker";"/yamamuteki/paiza-docker/blob/8b3e92dc6af4168a67fe46ad4ae37543306a1c02/image-ubuntu-dev/Dockerfile"
"vtslab/ilpdemo";"RUN apt-get update && apt-get install -y nginx";"6";"Previous";"https://github.com/search?p=11&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/vtslab/ilpdemo";"/vtslab/ilpdemo/blob/234e1bae75e87473862c5a26267b349845258a6d/mainServer/Dockerfile"
"lodestreams/BusyTools";"FROM dockerfile/nodejs-bower-gulp";"1";"Previous";"https://github.com/search?p=2&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/lodestreams/BusyTools";"/lodestreams/BusyTools/blob/4d31d3d7d55d3845ea8c26679c1d69015e37dcca/Dockerfile"
"guyromm/ScratchDocs";"RUN apt-get update && apt-get install -y libmozjs185-1.0";"2";"Previous";"https://github.com/search?p=53&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/guyromm/ScratchDocs";"/guyromm/ScratchDocs/blob/86f5acadd2074dcba34e6c03a1666e7fac8f0504/couchdb/Dockerfile"
"iansmith/machineroom";"RUN sudo apt-get install -q -y dnsutils";"3";"Previous";"https://github.com/search?p=27&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/iansmith/machineroom";"/iansmith/machineroom/blob/986ac0d0420bbf01ce76f98f83442d80b49f0f53/dnstester/Dockerfile"
"oldhill/dockerfiles";"CMD [""ls -al""]";"5";"Previous";"https://github.com/search?p=76&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/oldhill/dockerfiles";"/oldhill/dockerfiles/blob/521ce54a91ae3b6aaacf8579459b6211861cd915/apache-bench/Dockerfile"
"eadz/dockerfile-ubuntu";"RUN apt-get update && apt-get upgrade -y";"3";"Previous";"https://github.com/search?p=50&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/eadz/dockerfile-ubuntu";"/eadz/dockerfile-ubuntu/blob/efd694a9cc1aa8d15e79ef76e23b9c548e2e04b1/Dockerfile"
"snap-project/kezaco";"apt-get install -y php5-curl";"4";"Previous";"https://github.com/search?p=66&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/snap-project/kezaco";"/snap-project/kezaco/blob/4dd96f64d8d01b239c738acaeea65d1ae787c4d0/containers/web/Dockerfile"
"dgageot/quine-relay";"";"2";"Previous";"https://github.com/search?p=82&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/clisp.dockerfile"
