repo;pouet;numL;page;page-href;linkToRepo;linkToDockerfile
"dgageot/quine-relay";"COPY . ./";"5";"Previous";"https://github.com/search?p=85&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/ocaml.dockerfile"
"st3w4r/42-pool_ocaml";"RUN apt-get install rlwrap -y";"6";"Previous";"https://github.com/search?p=14&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/st3w4r/42-pool_ocaml";"/st3w4r/42-pool_ocaml/blob/4237b5e60b7d214c0fa327e959d23d587c7e03a8/Dockerfile"
"dgageot/quine-relay";"";"4";"Previous";"https://github.com/search?p=82&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/fortran77.dockerfile"
"barogi/docker-jenkinsci";"FROM jenkins";"1";"Previous";"https://github.com/search?p=57&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/barogi/docker-jenkinsci";"/barogi/docker-jenkinsci/blob/02b707b53137c75ca889c74d57da7478bd63cd31/Dockerfile"
"MG-RAST/Skyport";"#2.1.0";"6";"Previous";"https://github.com/search?p=97&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/MG-RAST/Skyport";"/MG-RAST/Skyport/blob/46f498b92219ceb11aeff9c4e2ef0854bdd9cf4c/dockerfiles/bowtie2/Dockerfile"
"octoblu/rpm-createrepo";"";"4";"";"";"/octoblu/rpm-createrepo";"/octoblu/rpm-createrepo/blob/cc37db79791b847185587e921b311329127a38bb/Dockerfile"
"elijahc/dockerfiles";"curl \";"4";"Previous";"https://github.com/search?p=72&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/elijahc/dockerfiles";"/elijahc/dockerfiles/blob/22a1c27d25b0a76157b939787fcf24256e16cc1c/base/jessie/Dockerfile"
"frioux/s3cmd.dkr";"FROM ubuntu";"1";"Previous";"https://github.com/search?p=56&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/frioux/s3cmd.dkr";"/frioux/s3cmd.dkr/blob/2414f8f9993b5cd30c80f66ded64d82922c71f39/Dockerfile"
"sasasin/jisui-linux";"RUN apt-get autoremove";"5";"Previous";"https://github.com/search?p=26&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/sasasin/jisui-linux";"/sasasin/jisui-linux/blob/bcab9c7055887f12325aa0f8478dccd8f599041d/Dockerfile"
"abulovic/sysbio-docker";"apt-get install -y tig && \";"5";"Previous";"https://github.com/search?p=45&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/abulovic/sysbio-docker";"/abulovic/sysbio-docker/blob/7f997ba3e6afafe3e99126b429bf08c9b17f7210/docker/git/Dockerfile"
"tgjamin/docker-101";"";"2";"Previous";"https://github.com/search?p=66&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/tgjamin/docker-101";"/tgjamin/docker-101/blob/4fa349506bafa8623585633df15c4ef589729d68/docker-compose/4/db/Dockerfile"
"rev112/playterminal-images";"";"6";"Previous";"https://github.com/search?p=33&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/rev112/playterminal-images";"/rev112/playterminal-images/blob/e7877c30d04f0633602052e2d75996a5acc1dc0e/game-bsdgames-base/Dockerfile"
"joaquinbucca/ml-proxy";"FROM cassandra:3.0.0";"1";"Previous";"https://github.com/search?p=94&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/joaquinbucca/ml-proxy";"/joaquinbucca/ml-proxy/blob/9e1d1c1b0cb7754704aa267668fc22a74e6f0cbe/docker/cassandra/Dockerfile"
"masahino/mruby-bin-mrbmacs-gtk";"FROM hone/mruby-cli";"1";"Previous";"https://github.com/search?p=51&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/masahino/mruby-bin-mrbmacs-gtk";"/masahino/mruby-bin-mrbmacs-gtk/blob/35ebb64f7d1a96ad6af741de0f775eda8558eb81/Dockerfile"
"crazycode/docker-php5";"FROM debian:wheezy";"1";"Previous";"https://github.com/search?p=95&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/crazycode/docker-php5";"/crazycode/docker-php5/blob/0323be71267032295ddfbd498f8afcabc50312d1/Dockerfile"
"dankydoo/docker-demo";"RUN apt-get install vim -y";"6";"Previous";"https://github.com/search?p=25&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dankydoo/docker-demo";"/dankydoo/docker-demo/blob/c504ea3fbb4fba85d6bec1b1e9a23ec5299e0c5d/node-base/Dockerfile"
"hisaharu/docker-xterm";"FROM ubuntu";"1";"Previous";"https://github.com/search?p=33&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/hisaharu/docker-xterm";"/hisaharu/docker-xterm/blob/d6d142a5ea51cf81a43bf7998fbd60a803a6e3e5/Dockerfile"
"raylin/gecko";"";"2";"Previous";"https://github.com/search?p=23&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/raylin/gecko";"/raylin/gecko/blob/691741017fc53f456d92ec333b113fd76b93b3e1/release/docker/firefox-snap/Dockerfile"
"schmidigital/sails-sparql";"FROM node";"1";"Previous";"https://github.com/search?p=30&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/schmidigital/sails-sparql";"/schmidigital/sails-sparql/blob/52ae5df21de25f1e4bbafec0be8eff997654d4e2/Dockerfile"
"dgageot/quine-relay";"";"2";"Previous";"https://github.com/search?p=87&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/smalltalk.dockerfile"
"tschoots/noteoj";"";"2";"Previous";"https://github.com/search?p=71&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/tschoots/noteoj";"/tschoots/noteoj/blob/f21b973c0f88302f58168463eaf89dc96e33d79d/basic_image/Dockerfile"
"inutano/blast-docker";"CMD [""bash""]";"3";"Previous";"https://github.com/search?p=98&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/inutano/blast-docker";"/inutano/blast-docker/blob/047efb97eed97e89188d1cea102f8a18f81805e1/Dockerfile"
"webskin/docker-debian-base";"FROM debian:7.7";"1";"Previous";"https://github.com/search?p=38&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/webskin/docker-debian-base";"/webskin/docker-debian-base/blob/d5f3d304c169bed33a7626f9101061068b8f9024/Dockerfile"
"dkrizic/docker-snmpd";"MAINTAINER darko@krizic.net";"2";"Previous";"https://github.com/search?p=23&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dkrizic/docker-snmpd";"/dkrizic/docker-snmpd/blob/4b7933be96970fc2a8cdcd4c98b59206e145a9b9/Dockerfile"
"Booodl/docker-elixir";"";"2";"Previous";"https://github.com/search?p=95&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Booodl/docker-elixir";"/Booodl/docker-elixir/blob/ea516d8da24b3bbdccb2f06f57e6421e2483f59e/Dockerfile"
"thinkerbot/ts";"FROM ubuntu:latest";"1";"Previous";"https://github.com/search?p=36&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/thinkerbot/ts";"/thinkerbot/ts/blob/f0f49642b77eb817e044929c8fed3b22a9c00ad8/dockerfiles/ubuntu/Dockerfile"
"dgageot/quine-relay";"RUN apt-get update -qq && apt-get install -y algol68g";"3";"Previous";"https://github.com/search?p=80&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/algol68.dockerfile"
"flipstone/orville";"RUN apt-get update &&\";"3";"Previous";"https://github.com/search?p=38&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/flipstone/orville";"/flipstone/orville/blob/5724aec300c82ae2ffddfdc23b3bbc37f2c290c4/Dockerfile"
"bewoo/Dockerfile";"RUN apt-get install -y software-properties-common";"5";"Previous";"https://github.com/search?p=74&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/bewoo/Dockerfile";"/bewoo/Dockerfile/blob/648897d3d5d78c74f48f71db2014f7b8814a4b9b/ubuntu%20for%20java/Dockerfile"
"Loyen/Coal";"CMD bash";"8";"Previous";"https://github.com/search?p=54&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Loyen/Coal";"/Loyen/Coal/blob/877c4f2348e5504fd75903e1b1f3cc8edd7899f2/docker/image/baseimage/Dockerfile"
"mingqi/docker_net_test";"RUN apt-get update";"2";"Previous";"https://github.com/search?p=30&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/mingqi/docker_net_test";"/mingqi/docker_net_test/blob/b65d7d5116d89d2524cc64ca1bce3924cbfa63f1/Dockerfile"
"bigchat/docker-java";"&& \";"7";"Previous";"https://github.com/search?p=4&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/bigchat/docker-java";"/bigchat/docker-java/blob/c49f9c4c1752821efba5f5c2bc5f9c4af9b6a105/Dockerfile"
"sirdesmond/concourse-docker-test";"FROM ubuntu:latest";"1";"Previous";"https://github.com/search?p=70&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/sirdesmond/concourse-docker-test";"/sirdesmond/concourse-docker-test/blob/9c7091d15bfefcaab9d2d8ef97bef5910ebbb83a/Dockerfile"
"yuji-k64613/docker_fluentd";"RUN apt-get install -y git";"5";"Previous";"https://github.com/search?p=28&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/yuji-k64613/docker_fluentd";"/yuji-k64613/docker_fluentd/blob/98edce0dcbfd07729a2c917fbf52972b3f8e72eb/httpd/Dockerfile"
"agend07/rsync_image";"FROM debian";"1";"Previous";"https://github.com/search?p=42&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/agend07/rsync_image";"/agend07/rsync_image/blob/240f7fdaadec8747c4f7b15355217fddd4caae0d/Dockerfile"
"ChrisEdwards/docker-tpp";"";"5";"Previous";"https://github.com/search?p=34&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ChrisEdwards/docker-tpp";"/ChrisEdwards/docker-tpp/blob/30e5a5e0ff35d578c65104ed1f166417bbd993e8/Dockerfile"
"kellrott/tcga_realign";"RUN    apt-get install -y python";"4";"Previous";"https://github.com/search?p=14&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kellrott/tcga_realign";"/kellrott/tcga_realign/blob/cd2819e7a869279f13c508fa2b06f61cda1eec9d/test-chain/dockers/test-chain-image/Dockerfile"
"Booodl/docker-elixir";"RUN apt-get update \";"3";"Previous";"https://github.com/search?p=95&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Booodl/docker-elixir";"/Booodl/docker-elixir/blob/ea516d8da24b3bbdccb2f06f57e6421e2483f59e/Dockerfile"
"yuvaraj951/icongrafana";"";"2";"Previous";"https://github.com/search?p=96&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/yuvaraj951/icongrafana";"/yuvaraj951/icongrafana/blob/bf8148f5abd596eac71a85a91a9142a1d09e94cf/docker/debtest/Dockerfile"
"fluxcapacitor/package.ml";"&& apt-get install -y zip \";"9";"Previous";"https://github.com/search?p=75&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/fluxcapacitor/package.ml";"/fluxcapacitor/package.ml/blob/24b227bf2c06ae4472b3a22ec6ef5614da8f58d5/ubuntu/14.04/Dockerfile"
"morevnaproject/morevna-builds";"ARG ALL_PROXY";"2";"Previous";"https://github.com/search?p=43&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/morevnaproject/morevna-builds";"/morevnaproject/morevna-builds/blob/375971891eb7cd8ea5afd222cf526c51663140d1/docker/debian-7-64bit/Dockerfile"
"rev112/playterminal-images";"&& apt-get clean";"5";"Previous";"https://github.com/search?p=33&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/rev112/playterminal-images";"/rev112/playterminal-images/blob/e7877c30d04f0633602052e2d75996a5acc1dc0e/game-bsdgames-base/Dockerfile"
"cgarciae/garesco";"FROM google/dart-runtime:1.11.0";"1";"Previous";"https://github.com/search?p=15&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/cgarciae/garesco";"/cgarciae/garesco/blob/1aa56c8d64dfea05257dbb959d6dd81ccaf16fbc/Dockerfile"
"adamw523/blog.adamw523.com";"RUN apt-get update && apt-get install -y curl vim less";"3";"Previous";"https://github.com/search?p=77&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/adamw523/blog.adamw523.com";"/adamw523/blog.adamw523.com/blob/5f186c12b78bee1795afb733554e3ac8a985bc4d/mysql/Dockerfile"
"MasashiTeruya/build-x265-docker";"FROM teruya/build-x265:deps";"1";"Previous";"https://github.com/search?p=64&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/MasashiTeruya/build-x265-docker";"/MasashiTeruya/build-x265-docker/blob/0c75d69bed72000933a149d19a514e61829bf298/deps-latest/Dockerfile"
"LeonardA-L/fiddlegram";"RUN apt-get upgrade -y";"3";"Previous";"https://github.com/search?p=6&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/LeonardA-L/fiddlegram";"/LeonardA-L/fiddlegram/blob/c537b49c02f0e2cbd1d9ceb9bec0a6855b66aca8/dockerImages/phpImage/Dockerfile"
"geeknam/docker_workshop";"FROM ubuntu";"1";"Previous";"https://github.com/search?p=24&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/geeknam/docker_workshop";"/geeknam/docker_workshop/blob/7d387ea7b3887c5dc20c24c6b49035337731c70f/Dockerfile"
"TrueAbility/docker-examples";"RUN apt-get update && apt-get -y install puppet";"4";"Previous";"https://github.com/search?p=99&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/TrueAbility/docker-examples";"/TrueAbility/docker-examples/blob/e8aa3e9e83f7f4730f3d1053b27d939edd8f253f/puppetbase/Dockerfile"
"M2i3/KiungoWiki";"";"2";"Previous";"https://github.com/search?p=68&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/M2i3/KiungoWiki";"/M2i3/KiungoWiki/blob/07d7fae86266b1117f65cc97953683fe71704e7a/dockerfiles/bundle.dockerfile"
"petipapagaj/docker-base";"ADD . /app";"7";"Previous";"https://github.com/search?p=72&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/petipapagaj/docker-base";"/petipapagaj/docker-base/blob/829e0e4e20208d62df4ca600c4c4250bb79db0ea/Dockerfile"
"gongo/docker-rrrspec-example";"";"2";"Previous";"https://github.com/search?p=6&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/gongo/docker-rrrspec-example";"/gongo/docker-rrrspec-example/blob/633e6e725d007d90e3f3be1742ea4a58f4431e5b/containers/base/Dockerfile"
"dgageot/quine-relay";"COPY . ./";"5";"Previous";"https://github.com/search?p=83&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dgageot/quine-relay";"/dgageot/quine-relay/blob/0e4aeca61cfc78d04b531a454ae241e4b4befc91/images/gri.dockerfile"
"madebymany/solr-package";"RUN apt-get update -qq && apt-get install -y curl zip";"1";"Previous";"https://github.com/search?p=48&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/madebymany/solr-package";"/madebymany/solr-package/blob/9d982e421676a63679d1fa24798a78f1f6b5b747/metallus/build/solr-common/Dockerfile"
"TomScotch/workspace";"RUN apt-get install -y irssi";"4";"Previous";"https://github.com/search?p=5&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/TomScotch/workspace";"/TomScotch/workspace/blob/0b662d358d586a2637e4603917ea4105ed281638/irc/Dockerfile"
"uveio/grafana";"";"2";"Previous";"https://github.com/search?p=66&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/uveio/grafana";"/uveio/grafana/blob/1ee2f2bfdcbfe07ff7241accd6f1a1b09370a20d/docker/debtest/Dockerfile"
"petipapagaj/docker-base";"ADD . /app";"7";"Previous";"https://github.com/search?p=71&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/petipapagaj/docker-base";"/petipapagaj/docker-base/blob/829e0e4e20208d62df4ca600c4c4250bb79db0ea/Dockerfile"
"munnerz/jekyll-python";"FROM munnerz/jekyll";"1";"Previous";"https://github.com/search?p=88&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/munnerz/jekyll-python";"/munnerz/jekyll-python/blob/d2fff15146329392d7c41fc91ddbd29c5d6d1eb7/Dockerfile"
"driftersprt/Firefox";"FROM ubuntu:16.04";"1";"Previous";"https://github.com/search?p=36&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/driftersprt/Firefox";"/driftersprt/Firefox/blob/c824a1528253a2a04f5fdf3a0b2bd8a70eec4dd1/release/docker/firefox-snap/Dockerfile"
"LeonardA-L/fiddlegram";"RUN apt-get install python3 -y";"4";"Previous";"https://github.com/search?p=6&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/LeonardA-L/fiddlegram";"/LeonardA-L/fiddlegram/blob/c537b49c02f0e2cbd1d9ceb9bec0a6855b66aca8/dockerImages/python3Image/Dockerfile"
"dsw88/docker-images";"";"2";"Previous";"https://github.com/search?p=96&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dsw88/docker-images";"/dsw88/docker-images/blob/fd3cf3b56e39b7b2cccee9d6ccde7f055da4ba44/java7/Dockerfile"
"InternalError503/cyberfox-beta";"";"2";"Previous";"https://github.com/search?p=30&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/InternalError503/cyberfox-beta";"/InternalError503/cyberfox-beta/blob/74191c157931a0ba1456c7bd2aaa9f6bba83bd04/release/docker/firefox-snap/Dockerfile"
"flipstone/glados";"";"2";"Previous";"https://github.com/search?p=23&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/flipstone/glados";"/flipstone/glados/blob/c27db20b691afc536b45e93776ecc21128303d3d/containers/dev/Dockerfile"
"OpsTree/HandbooksTraining";"RUN apt-get update && apt-get -y install git vim";"3";"Previous";"https://github.com/search?p=55&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/OpsTree/HandbooksTraining";"/OpsTree/HandbooksTraining/blob/ddcad01161335b1b582dffe6297415990910752f/git/Dockerfile"
"Kinmarui/docker_atlassian";"RUN apt-get install -y nunit-console \";"3";"Previous";"https://github.com/search?p=78&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/Kinmarui/docker_atlassian";"/Kinmarui/docker_atlassian/blob/c9976bd5e0b280e317949f8df5703e3249f4e69e/nunit/Dockerfile"
"kazu69/docker-mysql-pattern-sample";"apt-get install -y mysql-client";"4";"Previous";"https://github.com/search?p=65&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kazu69/docker-mysql-pattern-sample";"/kazu69/docker-mysql-pattern-sample/blob/c09f41b0c582a36c0647fb69ed8271ea8e21a573/php/Dockerfile"
